describe,evaluate,movie_name,movie_text,serial,star
永远的小人物，伟大的卓别林。,54155人评价,城市之光,1931/美国/喜剧剧情爱情,214,9.2
没有了退路，只好飞向自由。,120727人评价,末路狂花,1991/美国法国/犯罪剧情惊悚,215,8.7
中国版《两杆大烟枪》。,374412人评价,疯狂的石头,2006/中国大陆香港/喜剧犯罪,216,8.3
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,138686人评价,爱在午夜降临前,2013/美国/剧情爱情,217,8.8
昆汀同学越来越变态了，比北野武还杜琪峰。,255389人评价,无耻混蛋,2009/美国德国/剧情犯罪,218,8.5
青春就是放弃和怀念。,353143人评价,秒速5厘米,2007/日本/动画剧情爱情,219,8.3
科幻真正的魅力不是视觉效果能取代的。 ,211467人评价,这个男人来自地球,2007/美国/剧情科幻,220,8.5
类型片的极致。 ,161002人评价,勇闯夺命岛,1996/美国/动作冒险,221,8.6
生病的E.T.皮肤的颜色就像柿子饼。,179937人评价,E.T. 外星人,1982/美国/剧情科幻,222,8.5
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,242336人评价,变脸,1997/美国/动作科幻犯罪惊悚,223,8.4
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,115644人评价,碧海蓝天,1988/法国美国意大利/剧情爱情,224,8.7
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,141658人评价,卡萨布兰卡,1942/美国/剧情爱情战争,225,8.6
最棒的西部片。,60676人评价,黄金三镖客,1966/意大利西班牙西德/冒险西部,226,9.1
我完全康复了。,209263人评价,发条橙,1971/英国美国/犯罪剧情科幻,227,8.5
小成本大魅力。,222291人评价,彗星来的那一夜,2013/美国英国/科幻悬疑惊悚,228,8.4
新闻人的理性求真。,150039人评价,聚焦,2015/美国/剧情传记,229,8.8
每个美丽事物背后都是滴血的现实。,158641人评价,血钻,2006/美国德国/剧情惊悚冒险,230,8.6
生命不止，摇滚不死。,181217人评价,海盗电台,2009/英国德国法国/剧情喜剧音乐,231,8.6
每个人的内心都是深不可测的大海。 ,210122人评价,美国丽人,1999/美国/剧情爱情家庭,232,8.5
我不信仰上帝，但我敬畏上帝。,137492人评价,非常嫌疑犯,1995/德国美国/剧情犯罪悬疑惊悚,233,8.6
皇上无话儿。,386665人评价,国王的演讲,2010/英国澳大利亚美国/剧情传记历史,234,8.3
出门必备：本草纲目。,144889人评价,荒野生存,2007/美国/冒险传记剧情,235,8.6
"In memory, love lives forever...",192555人评价,英国病人,1996/美国英国/爱情剧情战争,236,8.5
还原真实而残酷的战争。,139012人评价,黑鹰坠落,2001/美国/动作历史战争,237,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,69613人评价,我爱你,2011/韩国/剧情爱情,238,9.0
最美的飞翔。,56622人评价,迁徙的鸟,2001/法国德国意大利西班牙瑞士/纪录片,239,9.1
用剩余不多的时间，去燃烧整个生命。,154468人评价,遗愿清单,2007/美国/冒险喜剧剧情,240,8.5
一部能引人思考的科幻励志片。,105438人评价,千钧一发,1997/美国/剧情科幻惊悚,241,8.7
热血沸腾，相当完美的娱乐拳击大餐。,97491人评价,勇士,2011/美国/剧情运动家庭,242,8.9
一个人的独角戏。,158093人评价,荒岛余生,2000/美国/冒险剧情,243,8.5
现代科幻电影的开山之作，最伟大导演的最伟大影片。,113758人评价,2001太空漫游,1968/英国美国/科幻惊悚冒险,244,8.7
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,114980人评价,枪火,1999/香港/剧情动作犯罪,245,8.7
现实与童话交相辉映的旅程。,116431人评价,燕尾蝶,1996/日本/犯罪剧情,246,8.6
乐观比一切都有力量。,121581人评价,叫我第一名,2008/美国/剧情传记,247,8.6
大卫·林奇的梦境迷宫。,263760人评价,穆赫兰道,2001/法国美国/剧情悬疑惊悚,248,8.3
